addr,latitude,longitude
"Москва, Москва и Московская область",55.7520268,37.6086138
NA,NA,NA
"Москва, Москва и Московская область",55.7520268,37.6086138
"Москва, Москва и Московская область",55.7520268,37.6086138
"Москва, Москва и Московская область",55.7520268,37.6086138
"Архангельск, Архангельская область",64.543022,40.537121
NA,NA,NA
"Москва, Москва и Московская область",55.7520268,37.6086138
"Томск, Томская область",56.4887526,84.9523434
"Москва, Москва и Московская область",55.7520268,37.6086138
"Новосибирск, Новосибирская область",54.96781445,82.95159894278376
"Москва, Москва и Московская область",55.7520268,37.6086138
"Москва, Москва и Московская область",55.7520268,37.6086138
"Москва, Москва и Московская область",55.7520268,37.6086138
NA,NA,NA
NA,NA,NA
"Астана, Акмолинская область, Казахстан",52.63704455,70.41246969253305
"Москва, Москва и Московская область",55.7520268,37.6086138
"Москва, Москва и Московская область",55.7520268,37.6086138
"Санкт-Петербург, Санкт-Петербург и Ленинградская область",60.1192706,30.1757045
"Москва, Москва и Московская область",55.7520268,37.6086138
"Санкт-Петербург, Санкт-Петербург и Ленинградская область",60.1192706,30.1757045
"Балашиха, Москва и Московская область",55.8036225,37.9646488
"Санкт-Петербург, Санкт-Петербург и Ленинградская область",60.1192706,30.1757045
"Москва, Москва и Московская область",55.7520268,37.6086138
NA,NA,NA
NA,NA,NA
"Красноярск, Красноярский край",56.0090968,92.8725147
"Оболенск, Москва и Московская область",54.9736758,37.2193561
"Санкт-Петербург, Санкт-Петербург и Ленинградская область",60.1192706,30.1757045
"Санкт-Петербург, Санкт-Петербург и Ленинградская область",60.1192706,30.1757045
NA,NA,NA
"Москва, Москва и Московская область",55.7520268,37.6086138
NA,NA,NA
